"","","",""
"0-0-1-151-258-3139-1","0","0","0"
"0-0-0-145-258-464-1","0","0","0"
"0-0-1-150-258-1538-1","0","0","0"
"0-0-1-147-258-2493-1","0","0","0"
"0-0-9-155-258-3267-1","0","0","0"
"0-0-0-146-258-644-1","0","0","0"
"0-0-0-152-258-1130-1","0","0","0"
"0-0-1-152-258-3871-1","0","0","0"
"0-0-0-147-258-824-1","0","0","0"
"0-0-0-143-258-4205-1","0","0","0"
"0-0-1-148-258-1084-1","0","0","0"
"0-0-0-144-258-82-1","0","0","0"
"0-0-5-153-258-1279-1","0","0","0"
"0-0-3-152-258-403-1","0","0","0"
"0-0-7-146-258-33-1","0","0","0"
"0-0-7-151-258-66-1","0","0","0"
"0-0-0-143-258-3367-1","0","0","0"
"0-0-1-151-258-7107-1","0","0","0"
"0-0-4-151-258-114-1","0","0","0"
"0-0-0-152-258-942-1","0","0","0"
"0-0-0-149-258-1758-1","0","0","0"
"0-0-1-150-258-473-1","0","0","0"
"0-0-1-145-258-1118-1","0","0","0"
"0-0-1-151-258-653-1","0","0","0"
"0-0-1-152-258-833-1","0","0","0"
"0-0-0-139-258-1732-1","0","0","0"
"0-0-9-151-258-2372-1","0","0","0"
"0-0-1-147-258-3451-1","0","0","0"
"0-0-1-144-258-1689-1","0","0","0"
"0-0-1-146-258-1850-1","0","0","0"
"0-0-0-146-258-1281-1","0","0","0"
"0-0-0-145-258-584-1","0","0","0"
"0-0-1-153-258-3420-1","0","0","0"
"0-0-1-150-258-1658-1","0","0","0"
"0-0-0-150-258-1089-1","0","0","0"
"0-0-0-149-258-5726-1","0","0","0"
"0-0-0-152-258-1250-1","0","0","0"
"0-0-0-147-258-944-1","0","0","0"
"0-0-1-147-258-8919-1","0","0","0"
"0-0-3-151-258-343-1","0","0","0"
"0-0-1-153-258-2582-1","0","0","0"
"0-0-0-152-258-9728-1","0","0","0"
"0-0-0-143-258-1315-1","0","0","0"
"0-0-10-152-258-1024-1","0","0","0"
"0-0-0-146-258-3739-1","0","0","0"
"0-0-1-144-258-2647-1","0","0","0"
"0-0-0-149-258-1878-1","0","0","0"
"0-0-0-144-258-2078-1","0","0","0"
"0-0-8-152-258-4993-1","0","0","0"
"0-0-1-150-258-593-1","0","0","0"
"0-0-1-148-258-3000-1","0","0","0"
"0-0-1-151-258-773-1","0","0","0"
"0-0-2-148-258-814-1","0","0","0"
"0-0-1-152-258-953-1","0","0","0"
"0-0-0-150-258-2047-1","0","0","0"
"0-0-4-152-258-1025-1","0","0","0"
"0-0-1-151-258-1207-1","0","0","0"
"0-0-0-150-258-66-1","0","0","0"
"0-0-1-148-258-2162-1","0","0","0"
"0-0-0-146-258-7707-1","0","0","0"
"0-0-1-150-258-1778-1","0","0","0"
"0-0-20-151-258-15-1","0","0","0"
"0-0-0-146-258-884-1","0","0","0"
"0-0-0-144-258-6046-1","0","0","0"
"0-0-0-152-258-1370-1","0","0","0"
"0-0-0-143-258-4445-1","0","0","0"
"0-0-0-140-258-1183-1","0","0","0"
"0-0-3-149-258-1-1","0","0","0"
"0-0-0-143-258-1435-1","0","0","0"
"0-0-2-147-258-45-1","0","0","0"
"0-0-0-149-258-1998-1","0","0","0"
"0-0-0-144-258-2198-1","0","0","0"
"0-0-1-151-258-893-1","0","0","0"
"0-0-1-150-258-2736-1","0","0","0"
"0-0-0-150-258-2167-1","0","0","0"
"0-0-4-149-258-57-1","0","0","0"
"0-0-5-148-258-1099-1","0","0","0"
"0-0-1-141-258-4311-1","0","0","0"
"0-0-1-151-258-3499-1","0","0","0"
"0-0-0-152-258-1490-1","0","0","0"
"0-0-1-151-258-8305-1","0","0","0"
"0-0-3-151-258-583-1","0","0","0"
"0-0-0-149-258-2956-1","0","0","0"
"0-0-0-143-258-1555-1","0","0","0"
"0-0-1-144-258-47-1","0","0","0"
"0-0-0-146-258-1807-1","0","0","0"
"0-0-0-150-258-3125-1","0","0","0"
"0-0-1-146-258-3079-1","0","0","0"
"0-0-1-148-258-3240-1","0","0","0"
"0-0-1-145-258-1478-1","0","0","0"
"0-0-0-141-258-165-1","0","0","0"
"0-0-12-154-258-1756-1","0","0","0"
"0-0-0-147-258-1070-1","0","0","0"
"0-0-0-150-258-2287-1","0","0","0"
"0-0-1-151-258-1447-1","0","0","0"
"0-0-5-150-258-20-1","0","0","0"
"0-0-6-151-258-164-1","0","0","0"
"0-0-0-149-258-3914-1","0","0","0"
"0-0-4-149-258-1231-1","0","0","0"
"0-0-0-147-258-58-1","0","0","0"
"0-0-0-152-258-119-1","0","0","0"
"0-0-0-144-258-1104-1","0","0","0"
"0-0-0-143-258-1675-1","0","0","0"
"0-0-4-151-258-3632-1","0","0","0"
"0-0-7-152-258-32-1","0","0","0"
"0-0-0-150-258-3245-1","0","0","0"
"0-0-1-151-258-2405-1","0","0","0"
"0-0-0-141-258-285-1","0","0","0"
"0-0-4-153-258-31-1","0","0","0"
"0-0-0-147-258-1190-1","0","0","0"
"0-0-5-152-258-1954-1","0","0","0"
"0-0-1-152-258-3168-1","0","0","0"
"0-0-0-140-258-1709-1","0","0","0"
"0-0-0-143-258-5643-1","0","0","0"
"0-0-1-151-258-1567-1","0","0","0"
"0-0-7-149-258-505-1","0","0","0"
"0-0-1-141-258-1541-1","0","0","0"
"0-0-6-153-258-644-1","0","0","0"
"0-0-1-144-258-624-1","0","0","0"
"0-0-1-145-258-804-1","0","0","0"
"0-0-0-144-258-1224-1","0","0","0"
"0-0-7-151-258-175-1","0","0","0"
"0-0-12-151-258-2582-1","0","0","0"
"0-0-0-143-258-1795-1","0","0","0"
"0-0-1-149-258-8091-1","0","0","0"
"0-0-0-147-258-3648-1","0","0","0"
"0-0-0-139-258-1029-1","0","0","0"
"0-0-1-148-258-2808-1","0","0","0"
"0-0-1-146-258-1147-1","0","0","0"
"0-0-0-143-258-6601-1","0","0","0"
"0-0-1-151-258-2525-1","0","0","0"
"0-0-1-151-258-4697-1","0","0","0"
"0-0-1-152-258-1116-1","0","0","0"
"0-0-1-149-258-2071-1","0","0","0"
"0-0-0-140-258-1829-1","0","0","0"
"0-0-1-151-258-1687-1","0","0","0"
"0-0-1-141-258-4671-1","0","0","0"
"0-0-9-153-258-225-1","0","0","0"
"0-0-0-151-258-32-1","0","0","0"
"0-0-4-151-258-7-1","0","0","0"
"0-0-1-141-258-1661-1","0","0","0"
"0-0-1-144-258-744-1","0","0","0"
"0-0-0-152-258-359-1","0","0","0"
"0-0-5-147-258-12-1","0","0","0"
"0-0-1-144-258-1913-1","0","0","0"
"0-0-7-150-258-1357-1","0","0","0"
"0-0-0-148-258-1084-1","0","0","0"
"0-0-1-145-258-924-1","0","0","0"
"0-0-0-144-258-1344-1","0","0","0"
"0-0-0-148-258-104-1","0","0","0"
"0-0-1-152-258-7256-1","0","0","0"
"0-0-3-151-258-1131-1","0","0","0"
"0-0-1-151-258-5655-1","0","0","0"
"0-0-2-148-258-11-1","0","0","0"
"0-0-0-150-258-1313-1","0","0","0"
"0-0-1-148-258-2928-1","0","0","0"
"0-0-0-150-258-3485-1","0","0","0"
"0-0-0-151-258-2076-1","0","0","0"
"0-0-7-149-258-24-1","0","0","0"
"0-0-4-147-258-2268-1","0","0","0"
"0-0-1-152-258-1236-1","0","0","0"
"0-0-1-149-258-2191-1","0","0","0"
"0-0-0-140-258-1949-1","0","0","0"
"0-0-0-141-258-2050-1","0","0","0"
"0-0-9-153-258-345-1","0","0","0"
"0-0-0-148-258-2042-1","0","0","0"
"0-0-0-144-258-2302-1","0","0","0"
"0-0-9-154-258-525-1","0","0","0"
"0-0-0-144-258-4474-1","0","0","0"
"0-0-1-145-258-3634-1","0","0","0"
"0-0-7-151-258-3078-1","0","0","0"
"0-0-1-144-258-864-1","0","0","0"
"0-0-0-145-258-3065-1","0","0","0"
"0-0-0-152-258-479-1","0","0","0"
"0-0-0-144-258-1464-1","0","0","0"
"0-0-7-153-258-1729-1","0","0","0"
"0-0-0-147-258-1716-1","0","0","0"
"0-0-0-148-258-224-1","0","0","0"
"0-0-1-151-258-3603-1","0","0","0"
"0-0-0-147-258-3888-1","0","0","0"
"0-0-0-149-258-404-1","0","0","0"
"0-0-0-150-258-1433-1","0","0","0"
"0-0-1-145-258-13-1","0","0","0"
"0-0-0-144-258-8442-1","0","0","0"
"0-0-1-146-258-1387-1","0","0","0"
"0-0-1-148-258-115-1","0","0","0"
"0-0-1-151-258-2765-1","0","0","0"
"0-0-0-148-258-3000-1","0","0","0"
"0-0-1-152-258-1356-1","0","0","0"
"0-0-1-139-258-866-1","0","0","0"
"0-0-0-145-258-4023-1","0","0","0"
"0-0-0-141-258-92-1","0","0","0"
"0-0-0-148-258-2162-1","0","0","0"
"0-0-0-151-258-9174-1","0","0","0"
"0-0-9-155-258-825-1","0","0","0"
"0-0-0-145-258-1013-1","0","0","0"
"0-0-1-144-258-984-1","0","0","0"
"0-0-0-145-258-3185-1","0","0","0"
"0-0-2-153-258-124-1","0","0","0"
"0-0-0-144-258-1584-1","0","0","0"
"0-0-0-148-258-24-1","0","0","0"
"0-0-7-153-258-1849-1","0","0","0"
"0-0-0-147-258-1836-1","0","0","0"
"0-0-0-148-258-344-1","0","0","0"
"0-0-3-151-258-1371-1","0","0","0"
"0-0-0-151-258-3154-1","0","0","0"
"0-0-0-149-258-524-1","0","0","0"
"0-0-0-139-258-1389-1","0","0","0"
"0-0-0-150-258-1553-1","0","0","0"
"0-0-0-141-258-4628-1","0","0","0"
"0-0-1-152-258-2314-1","0","0","0"
"0-0-0-151-258-194-1","0","0","0"
"0-0-1-152-258-4486-1","0","0","0"
"0-0-9-150-258-88-1","0","0","0"
"0-0-1-148-258-235-1","0","0","0"
"0-0-1-151-258-2885-1","0","0","0"
"0-0-1-149-258-1759-1","0","0","0"
"0-0-1-149-258-415-1","0","0","0"
"0-0-0-148-258-3120-1","0","0","0"
"0-0-0-148-258-5292-1","0","0","0"
"0-0-1-152-258-1476-1","0","0","0"
"0-0-0-149-258-2-1","0","0","0"
"0-0-0-141-258-2290-1","0","0","0"
"0-0-1-143-258-3051-1","0","0","0"
"0-0-0-148-258-2282-1","0","0","0"
"0-0-0-144-258-2542-1","0","0","0"
"0-0-0-145-258-1133-1","0","0","0"
"0-0-0-147-258-1956-1","0","0","0"
"0-0-0-148-258-464-1","0","0","0"
"0-0-0-151-258-1102-1","0","0","0"
"0-0-1-151-258-3843-1","0","0","0"
"0-0-0-149-258-644-1","0","0","0"
"0-0-1-147-258-1056-1","0","0","0"
"0-0-0-150-258-1673-1","0","0","0"
"0-0-0-144-258-6510-1","0","0","0"
"0-0-1-147-258-175-1","0","0","0"
"0-0-1-148-258-355-1","0","0","0"
"0-0-7-151-258-5114-1","0","0","0"
"0-0-1-149-258-535-1","0","0","0"
"0-0-0-148-258-3240-1","0","0","0"
"0-0-3-149-258-1548-1","0","0","0"
"0-0-0-145-258-4263-1","0","0","0"
"0-0-6-149-258-1-1","0","0","0"
"0-0-5-148-258-2401-1","0","0","0"
"0-0-0-145-258-1253-1","0","0","0"
"0-0-1-147-258-2014-1","0","0","0"
"0-0-0-150-258-2631-1","0","0","0"
"0-0-0-148-258-584-1","0","0","0"
"0-0-0-151-258-1222-1","0","0","0"
"0-0-1-149-258-2837-1","0","0","0"
"0-0-0-151-258-3394-1","0","0","0"
"0-0-0-149-258-764-1","0","0","0"
"0-0-0-150-258-1793-1","0","0","0"
"0-0-1-152-258-2554-1","0","0","0"
"0-0-1-147-258-295-1","0","0","0"
"0-0-1-148-258-475-1","0","0","0"
"0-0-1-149-258-1999-1","0","0","0"
"0-0-0-145-258-5221-1","0","0","0"
"0-0-1-149-258-655-1","0","0","0"
"0-0-10-150-258-39-1","0","0","0"
"0-0-7-151-258-2224-1","0","0","0"
"0-0-0-145-258-2211-1","0","0","0"
"0-0-0-151-258-7362-1","0","0","0"
"0-0-1-141-258-745-1","0","0","0"
"0-0-0-144-258-2782-1","0","0","0"
"0-0-0-150-258-5761-1","0","0","0"
"0-0-1-145-258-1942-1","0","0","0"
"0-0-0-145-258-105-1","0","0","0"
"0-0-0-145-258-1373-1","0","0","0"
"0-0-1-147-258-2134-1","0","0","0"
"0-0-7-154-258-1638-1","0","0","0"
"0-0-0-150-258-2751-1","0","0","0"
"0-0-1-151-258-1911-1","0","0","0"
"0-0-0-151-258-1342-1","0","0","0"
"0-0-1-149-258-2957-1","0","0","0"
"0-0-0-149-258-884-1","0","0","0"
"0-0-0-145-258-8351-1","0","0","0"
"0-0-1-147-258-1296-1","0","0","0"
"0-0-0-149-258-4409-1","0","0","0"
"0-0-0-141-258-2816-1","0","0","0"
"0-0-0-148-258-2808-1","0","0","0"
"0-0-1-143-258-5749-1","0","0","0"
"0-0-8-152-258-815-1","0","0","0"
"0-0-1-148-258-595-1","0","0","0"
"0-0-1-153-258-1265-1","0","0","0"
"0-0-1-149-258-775-1","0","0","0"
"0-0-0-148-258-3480-1","0","0","0"
"0-0-1-150-258-7319-1","0","0","0"
"0-0-10-151-258-3288-1","0","0","0"
"0-0-1-150-258-114-1","0","0","0"
"0-0-1-146-258-4501-1","0","0","0"
"0-0-7-151-258-2344-1","0","0","0"
"0-0-0-149-258-2071-1","0","0","0"
"0-0-0-145-258-2331-1","0","0","0"
"0-0-1-149-258-6925-1","0","0","0"
"0-0-1-141-258-865-1","0","0","0"
"0-0-5-149-258-80-1","0","0","0"
"0-0-6-150-258-4367-1","0","0","0"
"0-0-0-146-258-3094-1","0","0","0"
"0-0-0-151-258-2300-1","0","0","0"
"0-0-0-145-258-225-1","0","0","0"
"0-0-1-149-258-3915-1","0","0","0"
"0-0-1-147-258-2254-1","0","0","0"
"0-0-0-146-258-405-1","0","0","0"
"0-0-0-151-258-1462-1","0","0","0"
"0-0-0-149-258-4529-1","0","0","0"
"0-0-0-141-258-2936-1","0","0","0"
"0-0-0-148-258-2928-1","0","0","0"
"0-0-1-151-258-8-1","0","0","0"
"0-0-0-152-258-703-1","0","0","0"
"0-0-7-150-258-1701-1","0","0","0"
"0-0-1-149-258-895-1","0","0","0"
"0-0-0-149-258-1519-1","0","0","0"
"0-0-9-151-258-54-1","0","0","0"
"0-0-1-150-258-234-1","0","0","0"
"0-0-1-143-258-2859-1","0","0","0"
"0-0-1-151-258-414-1","0","0","0"
"0-0-0-149-258-2191-1","0","0","0"
"0-0-0-151-258-5430-1","0","0","0"
"0-0-1-147-258-3212-1","0","0","0"
"0-0-1-146-258-1611-1","0","0","0"
"0-0-5-153-258-185-1","0","0","0"
"0-0-0-146-258-1042-1","0","0","0"
"0-0-1-146-258-3783-1","0","0","0"
"0-0-0-144-258-165-1","0","0","0"
"0-0-0-151-258-2420-1","0","0","0"
"0-0-0-145-258-345-1","0","0","0"
"0-0-1-150-258-1419-1","0","0","0"
"0-0-1-147-258-2374-1","0","0","0"
"0-0-0-146-258-525-1","0","0","0"
"0-0-2-149-258-3135-1","0","0","0"
"0-0-0-152-258-1011-1","0","0","0"
"0-0-0-147-258-705-1","0","0","0"
"0-0-1-147-258-81-1","0","0","0"
"0-0-7-149-258-1021-1","0","0","0"
"0-0-2-148-258-1534-1","0","0","0"
"0-0-0-152-258-3183-1","0","0","0"
"0-0-1-150-258-2091-1","0","0","0"
"0-0-3-151-258-104-1","0","0","0"
"0-0-0-151-258-1582-1","0","0","0"
"0-0-2-149-258-2297-1","0","0","0"
"0-0-0-146-258-5010-1","0","0","0"
"0-0-0-143-258-3248-1","0","0","0"
"0-0-1-141-258-2156-1","0","0","0"
"0-0-0-152-258-823-1","0","0","0"
"0-0-7-150-258-1821-1","0","0","0"
"0-0-4-150-258-3604-1","0","0","0"
"0-0-0-149-258-1639-1","0","0","0"
"0-0-1-150-258-354-1","0","0","0"
"0-0-0-146-258-2000-1","0","0","0"
"0-0-1-143-258-2979-1","0","0","0"
"0-0-0-146-258-4172-1","0","0","0"
"0-0-1-151-258-534-1","0","0","0"
"0-0-1-152-258-714-1","0","0","0"
"0-0-1-147-258-3332-1","0","0","0"
"0-0-3-146-258-106-1","0","0","0"
"0-0-1-146-258-1731-1","0","0","0"
"0-0-0-146-258-1162-1","0","0","0"
"0-0-0-144-258-285-1","0","0","0"
"0-0-0-143-258-7216-1","0","0","0"
"0-0-0-151-258-2540-1","0","0","0"
"0-0-0-145-258-465-1","0","0","0"
"0-0-1-150-258-1539-1","0","0","0"
"0-0-0-146-258-645-1","0","0","0"
"0-0-12-147-258-396-1","0","0","0"
"0-0-0-147-258-825-1","0","0","0"
"0-0-0-139-258-50-1","0","0","0"
"0-0-0-144-258-83-1","0","0","0"
"0-0-7-146-258-34-1","0","0","0"
"0-0-0-149-258-4769-1","0","0","0"
"0-0-7-151-258-67-1","0","0","0"
"0-0-0-143-258-3368-1","0","0","0"
"0-0-4-149-258-2086-1","0","0","0"
"0-0-1-141-258-2276-1","0","0","0"
"0-0-1-145-258-4129-1","0","0","0"
"0-0-0-152-258-943-1","0","0","0"
"0-0-6-150-258-1372-1","0","0","0"
"0-0-0-149-258-1759-1","0","0","0"
"0-0-10-151-258-1476-1","0","0","0"
"0-0-3-150-258-3155-1","0","0","0"
"0-0-7-152-258-2133-1","0","0","0"
"0-0-4-152-258-66-1","0","0","0"
"0-0-1-150-258-474-1","0","0","0"
"0-0-0-146-258-2120-1","0","0","0"
"0-0-1-145-258-1119-1","0","0","0"
"0-0-1-151-258-654-1","0","0","0"
"0-0-0-145-258-2691-1","0","0","0"
"0-0-1-147-258-3452-1","0","0","0"
"0-0-6-149-258-286-1","0","0","0"
"0-0-1-146-258-1851-1","0","0","0"
"0-0-7-152-258-1295-1","0","0","0"
"0-0-0-146-258-1282-1","0","0","0"
"0-0-1-148-258-2043-1","0","0","0"
"0-0-0-151-258-2660-1","0","0","0"
"0-0-0-145-258-585-1","0","0","0"
"0-0-4-148-258-4453-1","0","0","0"
"0-0-1-153-258-3421-1","0","0","0"
"0-0-1-150-258-1659-1","0","0","0"
"0-0-0-146-258-765-1","0","0","0"
"0-0-1-152-258-1820-1","0","0","0"
"0-0-0-152-258-1251-1","0","0","0"
"0-0-0-147-258-4066-1","0","0","0"
"0-0-0-147-258-945-1","0","0","0"
"0-0-1-145-258-7259-1","0","0","0"
"0-0-1-153-258-2583-1","0","0","0"
"0-0-0-149-258-2717-1","0","0","0"
"0-0-12-153-258-17-1","0","0","0"
"0-0-0-149-258-4889-1","0","0","0"
"0-0-0-143-258-1316-1","0","0","0"
"0-0-0-143-258-3488-1","0","0","0"
"0-0-7-154-258-295-1","0","0","0"
"0-0-0-149-258-1879-1","0","0","0"
"0-0-1-150-258-594-1","0","0","0"
"0-0-0-146-258-2240-1","0","0","0"
"0-0-1-148-258-3001-1","0","0","0"
"0-0-1-145-258-1239-1","0","0","0"
"0-0-1-151-258-774-1","0","0","0"
"0-0-8-153-258-1413-1","0","0","0"
"0-0-1-148-258-5173-1","0","0","0"
"0-0-1-152-258-954-1","0","0","0"
"0-0-0-139-258-1853-1","0","0","0"
"0-0-0-150-258-2048-1","0","0","0"
"0-0-1-146-258-1971-1","0","0","0"
"0-0-1-152-258-4950-1","0","0","0"
"0-0-1-151-258-1208-1","0","0","0"
"0-0-0-150-258-67-1","0","0","0"
"0-0-1-148-258-2163-1","0","0","0"
"0-0-0-146-258-885-1","0","0","0"
"0-0-1-152-258-1940-1","0","0","0"
"0-0-0-152-258-1371-1","0","0","0"
"0-0-0-147-258-4186-1","0","0","0"
"0-0-1-151-258-10020-1","0","0","0"
"0-0-7-151-258-6792-1","0","0","0"
"0-0-1-144-258-3606-1","0","0","0"
"0-0-0-149-258-2837-1","0","0","0"
"0-0-6-149-258-7118-1","0","0","0"
"0-0-3-149-258-2-1","0","0","0"
"0-0-0-146-258-5370-1","0","0","0"
"0-0-5-147-258-216-1","0","0","0"
"0-0-0-150-258-3006-1","0","0","0"
"0-0-0-149-258-1999-1","0","0","0"
"0-0-0-146-258-2360-1","0","0","0"
"0-0-7-148-258-59-1","0","0","0"
"0-0-1-148-258-3121-1","0","0","0"
"0-0-1-151-258-4338-1","0","0","0"
"0-0-1-151-258-894-1","0","0","0"
"0-0-1-148-258-5293-1","0","0","0"
"0-0-4-149-258-58-1","0","0","0"
"0-0-1-151-258-1328-1","0","0","0"
"0-0-1-148-258-2283-1","0","0","0"
"0-0-7-150-258-4008-1","0","0","0"
"0-0-1-150-258-1899-1","0","0","0"
"0-0-6-152-258-225-1","0","0","0"
"0-0-0-152-258-1491-1","0","0","0"
"0-0-6-153-258-405-1","0","0","0"
"0-0-8-150-258-3739-1","0","0","0"
"0-0-0-146-258-4818-1","0","0","0"
"0-0-20-150-258-2966-1","0","0","0"
"0-0-1-153-258-80-1","0","0","0"
"0-0-0-149-258-2957-1","0","0","0"
"0-0-0-150-258-6136-1","0","0","0"
"0-0-4-149-258-805-1","0","0","0"
"0-0-0-143-258-1556-1","0","0","0"
"0-0-0-147-258-3409-1","0","0","0"
"0-0-9-153-258-1-1","0","0","0"
"0-0-10-152-258-1265-1","0","0","0"
"0-0-1-144-258-48-1","0","0","0"
"0-0-0-146-258-1808-1","0","0","0"
"0-0-10-155-258-1517-1","0","0","0"
"0-0-0-146-258-2480-1","0","0","0"
"0-0-1-145-258-1479-1","0","0","0"
"0-0-0-141-258-166-1","0","0","0"
"0-0-7-153-258-1084-1","0","0","0"
"0-0-0-147-258-1071-1","0","0","0"
"0-0-0-150-258-2288-1","0","0","0"
"0-0-1-151-258-1448-1","0","0","0"
"0-0-5-150-258-21-1","0","0","0"
"0-0-0-149-258-3915-1","0","0","0"
"0-0-1-141-258-1422-1","0","0","0"
"0-0-6-153-258-525-1","0","0","0"
"0-0-0-147-258-59-1","0","0","0"
"0-0-0-144-258-1105-1","0","0","0"
"0-0-0-150-258-6256-1","0","0","0"
"0-0-4-149-258-925-1","0","0","0"
"0-0-0-143-258-1676-1","0","0","0"
"0-0-0-147-258-9232-1","0","0","0"
"0-0-0-147-258-3529-1","0","0","0"
"0-0-7-152-258-33-1","0","0","0"
"0-0-0-146-258-1928-1","0","0","0"
"0-0-4-151-258-595-1","0","0","0"
"0-0-7-153-258-2042-1","0","0","0"
"0-0-1-143-258-100-1","0","0","0"
"0-0-0-150-258-3246-1","0","0","0"
"0-0-0-139-258-616-1","0","0","0"
"0-0-1-146-258-1028-1","0","0","0"
"0-0-1-152-258-4007-1","0","0","0"
"0-0-1-145-258-1599-1","0","0","0"
"0-0-4-153-258-32-1","0","0","0"
"0-0-1-147-258-1760-1","0","0","0"
"0-0-1-150-258-2977-1","0","0","0"
"0-0-0-147-258-1191-1","0","0","0"
"0-0-1-152-258-3169-1","0","0","0"
"0-0-6-152-258-465-1","0","0","0"
"0-0-7-153-258-3000-1","0","0","0"
"0-0-0-144-258-1225-1","0","0","0"
"0-0-0-150-258-4204-1","0","0","0"
"0-0-0-144-258-3397-1","0","0","0"
"0-0-0-147-258-3649-1","0","0","0"
"0-0-1-148-258-2809-1","0","0","0"
"0-0-3-150-258-1583-1","0","0","0"
"0-0-1-147-258-4890-1","0","0","0"
"0-0-0-139-258-736-1","0","0","0"
"0-0-1-151-258-2526-1","0","0","0"
"0-0-1-148-258-3481-1","0","0","0"
"0-0-3-150-258-34-1","0","0","0"
"0-0-1-152-258-1117-1","0","0","0"
"0-0-1-139-258-30-1","0","0","0"
"0-0-1-152-258-3289-1","0","0","0"
"0-0-1-151-258-1688-1","0","0","0"
"0-0-0-148-258-4095-1","0","0","0"
"0-0-0-151-258-33-1","0","0","0"
"0-0-8-153-258-110-1","0","0","0"
"0-0-4-151-258-8-1","0","0","0"
"0-0-1-144-258-745-1","0","0","0"
"0-0-5-147-258-13-1","0","0","0"
"0-0-1-144-258-1914-1","0","0","0"
"0-0-0-148-258-1085-1","0","0","0"
"0-0-1-145-258-925-1","0","0","0"
"0-0-0-144-258-1345-1","0","0","0"
"0-0-7-151-258-296-1","0","0","0"
"0-0-1-146-258-2106-1","0","0","0"
"0-0-5-150-258-2210-1","0","0","0"
"0-0-0-148-258-105-1","0","0","0"
"0-0-1-145-258-2677-1","0","0","0"
"0-0-1-151-258-5656-1","0","0","0"
"0-0-2-148-258-12-1","0","0","0"
"0-0-0-150-258-1314-1","0","0","0"
"0-0-8-151-258-1190-1","0","0","0"
"0-0-0-150-258-3486-1","0","0","0"
"0-0-1-149-258-3030-1","0","0","0"
"0-0-1-146-258-1268-1","0","0","0"
"0-0-1-151-258-2646-1","0","0","0"
"0-0-0-151-258-2077-1","0","0","0"
"0-0-0-141-258-5061-1","0","0","0"
"0-0-7-148-258-2087-1","0","0","0"
"0-0-7-149-258-25-1","0","0","0"
"0-0-1-152-258-1237-1","0","0","0"
"0-0-0-141-258-2051-1","0","0","0"
"0-0-9-153-258-346-1","0","0","0"
"0-0-0-148-258-2043-1","0","0","0"
"0-0-0-144-258-2303-1","0","0","0"
"0-0-12-155-258-85-1","0","0","0"
"0-0-1-145-258-3635-1","0","0","0"
"0-0-9-153-258-4409-1","0","0","0"
"0-0-1-144-258-865-1","0","0","0"
"0-0-0-144-258-1465-1","0","0","0"
"0-0-0-150-258-4444-1","0","0","0"
"0-0-0-144-258-10620-1","0","0","0"
"0-0-1-149-258-6160-1","0","0","0"
"0-0-0-148-258-225-1","0","0","0"
"0-0-0-149-258-405-1","0","0","0"
"0-0-7-148-258-341-1","0","0","0"
"0-0-0-148-258-6011-1","0","0","0"
"0-0-0-150-258-1434-1","0","0","0"
"0-0-5-151-258-3093-1","0","0","0"
"0-0-1-145-258-14-1","0","0","0"
"0-0-1-146-258-1388-1","0","0","0"
"0-0-1-148-258-116-1","0","0","0"
